epoch,accuracy,loss,val_accuracy,val_loss
0,0.87599116563797,0.3800562024116516,0.9905047416687012,0.0391865037381649
1,0.9971426725387573,0.011987421661615372,0.9945027232170105,0.02746831253170967
2,0.9991428256034851,0.0028551171999424696,0.9960020184516907,0.007017424330115318
3,0.9994999766349792,0.0016291191568598151,0.9990004897117615,0.003606262616813183
4,1.0,1.1935259863093961e-05,0.9990004897117615,0.0032815164886415005
5,1.0,7.171759534685407e-06,0.9990004897117615,0.0033003792632371187
6,1.0,5.37624418939231e-06,0.9990004897117615,0.00325034954585135
7,1.0,4.254613941157004e-06,0.9990004897117615,0.003225330263376236
8,1.0,3.6924420783179812e-06,0.9990004897117615,0.003225518623366952
9,1.0,3.6139110761723714e-06,0.9990004897117615,0.0032275081612169743
